spieltag,home,away,result
1,Tasmania,Karlsruhe,2:0
1,Braunschweig,Dortmund,4:0
1,Bremen,Nürnberg,1:0
1,Meiderich,K'lautern,2:2
1,Frankfurt,Hamburg,2:0
1,Köln,Hannover,0:1
1,TSV 1860,Bayern,1:0
1,Neunkirchen,M'gladbach,1:1
1,Stuttgart,Schalke,1:0
2,(18.) Dortmund,Neunkirchen (11.),1:0
2,(15.) Hamburg,Braunschweig (1.),2:1
2,(7.) Hannover,Bremen (4.),2:1
2,(8.) K'lautern,Köln (13.),3:2
2,(10.) M'gladbach,Tasmania (2.),5:0
2,(14.) Bayern,Frankfurt (3.),2:0
2,(16.) Nürnberg,TSV 1860 (6.),1:4
2,(17.) Schalke,Karlsruhe (12.),0:0
2,(5.) Stuttgart,Meiderich (9.),2:0
3,(13.) Meiderich,Schalke (16.),5:1
3,(11.) Tasmania,Dortmund (12.),0:2
3,(6.) Braunschweig,Bayern (7.),2:4
3,(8.) Bremen,K'lautern (5.),4:1
3,(9.) Frankfurt,Nürnberg (18.),1:2
3,(15.) Karlsruhe,M'gladbach (4.),3:3
3,(17.) Köln,Stuttgart (3.),3:1
3,(1.) TSV 1860,Hannover (2.),5:0
3,(14.) Neunkirchen,Hamburg (10.),1:1
4,(6.) Dortmund,Karlsruhe (15.),4:1
4,(8.) Meiderich,Köln (12.),2:3
4,(10.) Hamburg,Tasmania (17.),5:1
4,(7.) Hannover,Frankfurt (13.),4:1
4,(9.) K'lautern,TSV 1860 (1.),3:0
4,(4.) Bayern,Neunkirchen (14.),6:0
4,(16.) Nürnberg,Braunschweig (11.),1:1
4,(18.) Schalke,M'gladbach (2.),0:0
4,(5.) Stuttgart,Bremen (3.),0:2
5,(16.) Tasmania,Bayern (1.),0:2
5,(11.) Braunschweig,Hannover (5.),2:1
5,(2.) Bremen,Meiderich (12.),2:0
5,(14.) Frankfurt,K'lautern (8.),6:0
5,(15.) Karlsruhe,Hamburg (7.),1:4
5,(9.) Köln,Schalke (18.),2:1
5,(6.) M'gladbach,Dortmund (4.),4:5
5,(3.) TSV 1860,Stuttgart (10.),0:0
5,(17.) Neunkirchen,Nürnberg (13.),2:1
6,(14.) Meiderich,TSV 1860 (4.),2:3
6,(5.) Hamburg,M'gladbach (8.),5:0
6,(7.) Hannover,Neunkirchen (13.),6:0
6,(11.) K'lautern,Braunschweig (9.),1:1
6,(6.) Köln,Bremen (2.),2:0
6,(1.) Bayern,Karlsruhe (16.),5:1
6,(15.) Nürnberg,Tasmania (18.),7:2
6,(17.) Schalke,Dortmund (3.),2:3
6,(10.) Stuttgart,Frankfurt (12.),0:0
7,(18.) Tasmania,Hannover (6.),1:5
7,(8.) Braunschweig,Stuttgart (9.),1:1
7,(5.) Bremen,Schalke (16.),2:0
7,(2.) Dortmund,Hamburg (3.),2:2
7,(11.) Frankfurt,Meiderich (15.),2:0
7,(17.) Karlsruhe,Nürnberg (12.),1:2
7,(13.) M'gladbach,Bayern (1.),1:2
7,(4.) TSV 1860,Köln (7.),2:1
7,(14.) Neunkirchen,K'lautern (10.),1:4
8,(4.) Bremen,TSV 1860 (2.),0:2
8,(15.) Meiderich,Braunschweig (10.),4:1
8,(6.) Hannover,Karlsruhe (16.),5:2
8,(8.) K'lautern,Tasmania (18.),0:0
8,(7.) Köln,Frankfurt (9.),1:0
8,(1.) Bayern,Dortmund (3.),0:2
8,(11.) Nürnberg,M'gladbach (13.),2:2
8,(17.) Schalke,Hamburg (5.),2:1
8,(12.) Stuttgart,Neunkirchen (14.),2:0
9,(17.) Tasmania,Stuttgart (8.),0:2
9,(13.) M'gladbach,Hannover (4.),2:0
9,(16.) Neunkirchen,Meiderich (14.),0:1
9,(12.) Braunschweig,Köln (7.),1:2
9,(2.) Dortmund,Nürnberg (10.),2:0
9,(18.) Karlsruhe,K'lautern (9.),1:0
9,(11.) Frankfurt,Bremen (6.),1:0
9,(5.) Hamburg,Bayern (3.),0:4
9,(1.) TSV 1860,Schalke (15.),3:0
10,(7.) Bremen,Braunschweig (14.),4:0
10,(13.) Meiderich,Tasmania (18.),3:0
10,(4.) Hannover,Dortmund (2.),1:1
10,(10.) K'lautern,M'gladbach (11.),1:2
10,(5.) Köln,Neunkirchen (17.),4:2
10,(1.) TSV 1860,Frankfurt (9.),4:2
10,(12.) Nürnberg,Hamburg (8.),5:0
10,(16.) Schalke,Bayern (3.),1:1
10,(6.) Stuttgart,Karlsruhe (15.),1:0
11,(18.) Tasmania,Köln (4.),0:6
11,(14.) Braunschweig,TSV 1860 (1.),2:2
11,(2.) Dortmund,K'lautern (13.),4:0
11,(12.) Frankfurt,Schalke (15.),4:1
11,(9.) Hamburg,Hannover (5.),2:1
11,(16.) Karlsruhe,Meiderich (11.),0:4
11,(10.) M'gladbach,Stuttgart (6.),1:0
11,(3.) Bayern,Nürnberg (8.),0:0
11,(17.) Neunkirchen,Bremen (7.),1:2
12,(6.) Hannover,Bayern (3.),3:4
12,(5.) Bremen,Tasmania (18.),5:0
12,(10.) Meiderich,M'gladbach (8.),3:2
12,(11.) Frankfurt,Braunschweig (14.),4:1
12,(13.) K'lautern,Hamburg (9.),2:1
12,(4.) Köln,Karlsruhe (16.),2:0
