spieltag,home,away,result
1,1. FC Heidenheim,VfL Wolfsburg,1:3
1,1. FC Union Berlin,VfB Stuttgart,2:1
1,Bayer 04 Leverkusen,TSG Hoffenheim,1:2
1,Borussia Mönchengladbach,Hamburger SV,0:0
1,Eintracht Frankfurt,SV Werder Bremen,4:1
1,FC Bayern München,RB Leipzig,6:0
1,FC St Pauli,Borussia Dortmund,3:3
1,FSV Mainz 05,1. FC Köln,0:1
1,SC Freiburg,1.FC Augsburg,1:3
2,1. FC Köln,SC Freiburg,4:1
2,1.FC Augsburg,FC Bayern München,2:3
2,Borussia Dortmund,1. FC Union Berlin,3:0
2,Hamburger SV,FC St Pauli,0:2
2,RB Leipzig,1. FC Heidenheim,2:0
2,SV Werder Bremen,Bayer 04 Leverkusen,3:3
2,TSG Hoffenheim,Eintracht Frankfurt,1:3
2,VfB Stuttgart,Borussia Mönchengladbach,1:0
2,VfL Wolfsburg,FSV Mainz 05,1:1
3,1. FC Heidenheim,Borussia Dortmund,0:2
3,1. FC Union Berlin,TSG Hoffenheim,2:4
3,Bayer 04 Leverkusen,Eintracht Frankfurt,3:1
3,Borussia Mönchengladbach,SV Werder Bremen,0:4
3,FC Bayern München,Hamburger SV,5:0
3,FC St Pauli,1.FC Augsburg,2:1
3,FSV Mainz 05,RB Leipzig,0:1
3,SC Freiburg,VfB Stuttgart,3:1
3,VfL Wolfsburg,1. FC Köln,3:3
4,1.FC Augsburg,FSV Mainz 05,1:4
4,Bayer 04 Leverkusen,Borussia Mönchengladbach,1:1
4,Borussia Dortmund,VfL Wolfsburg,1:0
4,Eintracht Frankfurt,1. FC Union Berlin,3:4
4,Hamburger SV,1. FC Heidenheim,2:1
4,RB Leipzig,1. FC Köln,3:1
4,SV Werder Bremen,SC Freiburg,0:3
4,TSG Hoffenheim,FC Bayern München,1:4
4,VfB Stuttgart,FC St Pauli,2:0
5,1. FC Heidenheim,1.FC Augsburg,2:1
5,1. FC Köln,VfB Stuttgart,1:2
5,1. FC Union Berlin,Hamburger SV,0:0
5,Borussia Mönchengladbach,Eintracht Frankfurt,4:6
5,FC Bayern München,SV Werder Bremen,4:0
5,FC St Pauli,Bayer 04 Leverkusen,1:2
5,FSV Mainz 05,Borussia Dortmund,0:2
5,SC Freiburg,TSG Hoffenheim,1:1
5,VfL Wolfsburg,RB Leipzig,0:1
6,1.FC Augsburg,VfL Wolfsburg,3:1
6,Bayer 04 Leverkusen,1. FC Union Berlin,2:0
6,Borussia Dortmund,RB Leipzig,1:1
6,Borussia Mönchengladbach,SC Freiburg,0:0
6,Eintracht Frankfurt,FC Bayern München,0:3
6,Hamburger SV,FSV Mainz 05,4:0
6,SV Werder Bremen,FC St Pauli,1:0
6,TSG Hoffenheim,1. FC Köln,0:1
6,VfB Stuttgart,1. FC Heidenheim,1:0
7,1. FC Heidenheim,SV Werder Bremen,2:2
7,1. FC Köln,1.FC Augsburg,1:1
7,1. FC Union Berlin,Borussia Mönchengladbach,3:1
7,FC Bayern München,Borussia Dortmund,2:1
7,FC St Pauli,TSG Hoffenheim,0:3
7,FSV Mainz 05,Bayer 04 Leverkusen,3:4
7,RB Leipzig,Hamburger SV,2:1
7,SC Freiburg,Eintracht Frankfurt,2:2
7,VfL Wolfsburg,VfB Stuttgart,0:3
8,1.FC Augsburg,RB Leipzig,0:6
8,Bayer 04 Leverkusen,SC Freiburg,2:0
8,Borussia Dortmund,1. FC Köln,1:0
8,Borussia Mönchengladbach,FC Bayern München,0:3
8,Eintracht Frankfurt,FC St Pauli,2:0
8,Hamburger SV,VfL Wolfsburg,0:1
8,SV Werder Bremen,1. FC Union Berlin,1:0
8,TSG Hoffenheim,1. FC Heidenheim,3:1
8,VfB Stuttgart,FSV Mainz 05,2:1
9,1. FC Heidenheim,Eintracht Frankfurt,1:1
9,1. FC Köln,Hamburger SV,4:1
9,1. FC Union Berlin,SC Freiburg,0:0
9,1.FC Augsburg,Borussia Dortmund,0:1
9,FC Bayern München,Bayer 04 Leverkusen,3:0
9,FC St Pauli,Borussia Mönchengladbach,0:4
9,FSV Mainz 05,SV Werder Bremen,1:1
9,RB Leipzig,VfB Stuttgart,3:1
9,VfL Wolfsburg,TSG Hoffenheim,2:3
10,1. FC Union Berlin,FC Bayern München,2:2
10,Bayer 04 Leverkusen,1. FC Heidenheim,6:0
10,Borussia Mönchengladbach,1. FC Köln,3:1
10,Eintracht Frankfurt,FSV Mainz 05,1:0
10,Hamburger SV,Borussia Dortmund,1:1
10,SC Freiburg,FC St Pauli,2:1
10,SV Werder Bremen,VfL Wolfsburg,2:1
10,TSG Hoffenheim,RB Leipzig,3:1
10,VfB Stuttgart,1.FC Augsburg,3:2
11,1. FC Heidenheim,Borussia Mönchengladbach,0:3
11,1. FC Köln,Eintracht Frankfurt,3:4
11,1.FC Augsburg,Hamburger SV,1:0
11,Borussia Dortmund,VfB Stuttgart,3:3
11,FC Bayern München,SC Freiburg,6:2
11,FC St Pauli,1. FC Union Berlin,0:1
11,FSV Mainz 05,TSG Hoffenheim,1:1
11,RB Leipzig,SV Werder Bremen,2:0
11,VfL Wolfsburg,Bayer 04 Leverkusen,1:3
12,1. FC Union Berlin,1. FC Heidenheim,1:2
12,Bayer 04 Leverkusen,Borussia Dortmund,1:2
12,Borussia Mönchengladbach,RB Leipzig,0:0
12,Eintracht Frankfurt,VfL Wolfsburg,1:1
12,FC Bayern München,FC St Pauli,3:1
12,Hamburger SV,VfB Stuttgart,2:1
12,SC Freiburg,FSV Mainz 05,4:0
12,SV Werder Bremen,1. FC Köln,1:1
12,TSG Hoffenheim,1.FC Augsburg,3:0
13,1. FC Heidenheim,SC Freiburg,2:1
13,1. FC Köln,FC St Pauli,1:1
13,1.FC Augsburg,Bayer 04 Leverkusen,2:0
13,Borussia Dortmund,TSG Hoffenheim,2:0
13,FSV Mainz 05,Borussia Mönchengladbach,0:1
13,Hamburger SV,SV Werder Bremen,3:2
13,RB Leipzig,Eintracht Frankfurt,6:0
13,VfB Stuttgart,FC Bayern München,0:5
13,VfL Wolfsburg,1. FC Union Berlin,3:1
14,1. FC Union Berlin,RB Leipzig,3:1
14,Bayer 04 Leverkusen,1. FC Köln,2:0
14,Borussia Mönchengladbach,VfL Wolfsburg,1:3
14,Eintracht Frankfurt,1.FC Augsburg,1:0
14,FC Bayern München,FSV Mainz 05,2:2
14,FC St Pauli,1. FC Heidenheim,2:1
