id,spieltag,saison,heim,gast,tore_heim,tore_gast
1,1,1963/64,Hertha BSC,1. FC Nürnberg,1,1
2,1,1963/64,SV Werder Bremen,Borussia Dortmund,3,2
3,1,1963/64,Eintracht Frankfurt,1.FC Kaiserslautern,1,1
4,1,1963/64,Karlsruher SC,Meidericher SV,1,4
5,1,1963/64,TSV 1860 München,Eintracht Braunschweig,1,1
6,1,1963/64,Preußen Münster,Hamburger SV,1,1
7,1,1963/64,1. FC Saarbrücken,1. FC Köln,0,2
8,1,1963/64,FC Schalke 04,VfB Stuttgart,2,0
9,2,1963/64,Eintracht Braunschweig,Preußen Münster,1,0
10,2,1963/64,Borussia Dortmund,TSV 1860 München,3,3
11,2,1963/64,Meidericher SV,Eintracht Frankfurt,3,1
12,2,1963/64,Hamburger SV,1. FC Saarbrücken,4,2
13,2,1963/64,1.FC Kaiserslautern,FC Schalke 04,2,3
14,2,1963/64,1. FC Köln,Karlsruher SC,4,0
15,2,1963/64,1. FC Nürnberg,SV Werder Bremen,3,0
16,2,1963/64,VfB Stuttgart,Hertha BSC,2,0
17,3,1963/64,Hertha BSC,1.FC Kaiserslautern,2,2
18,3,1963/64,SV Werder Bremen,VfB Stuttgart,2,2
19,3,1963/64,Eintracht Frankfurt,1. FC Nürnberg,2,3
20,3,1963/64,Karlsruher SC,Hamburger SV,0,4
21,3,1963/64,TSV 1860 München,1. FC Köln,1,3
22,3,1963/64,Preußen Münster,Meidericher SV,4,2
23,3,1963/64,1. FC Saarbrücken,Eintracht Braunschweig,2,2
24,3,1963/64,FC Schalke 04,Borussia Dortmund,3,1
25,4,1963/64,Eintracht Braunschweig,Karlsruher SC,2,0
26,4,1963/64,Borussia Dortmund,1. FC Saarbrücken,2,1
27,4,1963/64,Meidericher SV,Hertha BSC,1,3
28,4,1963/64,Hamburger SV,Eintracht Frankfurt,3,0
29,4,1963/64,1.FC Kaiserslautern,SV Werder Bremen,3,0
30,4,1963/64,1. FC Köln,FC Schalke 04,2,2
31,4,1963/64,1. FC Nürnberg,Preußen Münster,2,2
32,4,1963/64,VfB Stuttgart,TSV 1860 München,1,1
33,5,1963/64,Hertha BSC,1. FC Köln,0,3
34,5,1963/64,SV Werder Bremen,Meidericher SV,1,1
35,5,1963/64,Eintracht Frankfurt,Eintracht Braunschweig,3,0
36,5,1963/64,Karlsruher SC,Borussia Dortmund,1,3
37,5,1963/64,TSV 1860 München,1.FC Kaiserslautern,3,0
38,5,1963/64,Preußen Münster,VfB Stuttgart,4,2
39,5,1963/64,1. FC Saarbrücken,1. FC Nürnberg,3,5
40,5,1963/64,FC Schalke 04,Hamburger SV,1,0
41,6,1963/64,Meidericher SV,TSV 1860 München,3,0
42,6,1963/64,1.FC Kaiserslautern,Preußen Münster,0,0
43,6,1963/64,1. FC Köln,SV Werder Bremen,4,3
44,6,1963/64,VfB Stuttgart,1. FC Saarbrücken,3,1
45,6,1963/64,1. FC Nürnberg,Karlsruher SC,2,4
46,6,1963/64,Hamburger SV,Hertha BSC,5,1
47,6,1963/64,Eintracht Braunschweig,FC Schalke 04,4,3
48,6,1963/64,Borussia Dortmund,Eintracht Frankfurt,3,0
49,7,1963/64,Hertha BSC,Eintracht Braunschweig,1,2
50,7,1963/64,Eintracht Frankfurt,1. FC Köln,2,1
