platz,spieler,spiele,tore
1,Gerd Müller,427,365
2,Robert Lewandowski,384,312
3,Klaus Fischer,535,268
4,Jupp Heynckes,369,220
5,Manfred Burgsmüller,447,213
6,Claudio Pizarro,490,197
7,Ulf Kirsten,350,182
8,Stefan Kuntz,449,179
9,Dieter Müller,303,177
10,Klaus Allofs,424,177
11,Mario Gómez,328,170
12,Hannes Löhr,381,166
13,Karl-Heinz Rummenigge,310,162
14,Bernd Hölzenbein,420,160
15,Fritz Walter,348,157
16,Marco Reus,394,156
17,Thomas Müller,507,150
18,Thomas Allofs,378,148
19,Stefan Kießling,403,144
20,Bernd Nickel,426,141
