"Saison","Platz","Verein","Schnitt","Gesamt"
"1963/64","1","VfB Stuttgart","40.400","606.000"
"1963/64","2","Hamburger SV","35.466","532.000"
"1963/64","3","Hertha BSC","35.460","531.900"
"1963/64","4","TSV 1860 München","33.466","502.000"
"1963/64","5","1. FC Köln","33.306","499.600"
"1963/64","6","Karlsruher SC","31.533","473.000"
"1963/64","7","1. FC Nürnberg","29.466","442.000"
"1963/64","8","Meidericher SV","28.066","421.000"
"1963/64","9","Eintracht Frankfurt","26.166","392.500"
"1963/64","10","Borussia Dortmund","23.533","353.000"
"1963/64","11","Preußen Münster","22.600","339.000"
"1963/64","12","FC Schalke 04","22.266","334.000"
"1963/64","13","Eintracht Braunschweig","22.173","332.600"
"1963/64","14","1.FC Kaiserslautern","21.600","324.000"
"1963/64","15","SV Werder Bremen","19.933","299.000"
"1963/64","16","1. FC Saarbrücken","17.600","264.000"
"1964/65","1","Hannover 96","43.160","647.400"
"1964/65","2","Hertha BSC","36.346","545.200"
"1964/65","3","Hamburger SV","36.286","544.300"
"1964/65","4","Karlsruher SC","32.200","483.000"
"1964/65","5","1. FC Köln","31.366","470.500"
"1964/65","6","1. FC Nürnberg","30.533","458.000"
"1964/65","7","VfB Stuttgart","29.933","449.000"
"1964/65","8","TSV 1860 München","28.866","433.000"
"1964/65","9","FC Schalke 04","26.933","404.000"
"1964/65","10","SV Werder Bremen","26.553","398.300"
"1964/65","11","Borussia Dortmund","25.333","380.000"
"1964/65","12","1.FC Kaiserslautern","24.200","363.000"
"1964/65","13","Meidericher SV","22.800","342.000"
"1964/65","14","Eintracht Braunschweig","22.600","339.000"
"1964/65","15","Eintracht Frankfurt","22.033","330.500"
"1964/65","16","Borussia Neunkirchen","21.466","322.000"
"1965/66","1","Hannover 96","32.323","549.500"
"1965/66","2","TSV 1860 München","31.352","533.000"
"1965/66","3","Karlsruher SC","30.411","517.000"
"1965/66","4","FC Schalke 04","28.617","486.500"
"1965/66","5","1. FC Köln","27.705","471.000"
"1965/66","6","Hamburger SV","27.176","462.000"
"1965/66","7","Eintracht Frankfurt","27.117","461.000"
"1965/66","8","1. FC Nürnberg","27.000","459.000"
"1965/66","9","FC Bayern München","26.352","448.000"
"1965/66","10","VfB Stuttgart","26.235","446.000"
"1965/66","11","Borussia Dortmund","25.470","433.000"
"1965/66","12","Borussia Mönchengladbach","24.176","411.000"
"1965/66","13","SV Werder Bremen","21.294","362.000"
"1965/66","14","Meidericher SV","20.294","345.000"
"1965/66","15","1.FC Kaiserslautern","18.411","313.000"
"1965/66","16","Eintracht Braunschweig","17.264","293.500"
"1965/66","17","Tasmania Berlin","17.247","293.200"
"1965/66","18","Borussia Neunkirchen","17.058","290.000"
"1966/67","1","Fortuna Düsseldorf","29.058","494.000"
"1966/67","2","VfB Stuttgart","28.705","488.000"
"1966/67","3","Eintracht Braunschweig","27.647","470.000"
"1966/67","4","Rot-Weiss Essen","27.117","461.000"
"1966/67","5","Eintracht Frankfurt","26.588","452.000"
"1966/67","6","Hamburger SV","26.470","450.000"
"1966/67","7","Borussia Dortmund","26.047","442.800"
"1966/67","8","Karlsruher SC","25.882","440.000"
"1966/67","9","1. FC Köln","25.470","433.000"
"1966/67","10","TSV 1860 München","25.000","425.000"
"1966/67","11","FC Schalke 04","24.647","419.000"
